Text,lables
"My cat has gingivitis, and he's only 2. My vet prescribed fancy expensive food that you can only get from a vet. I did some research, and this stuff is made by the same company, with a nearly identical ingredients list. While i was mixing in his old food with this stuff to acclimate him, he'd pick out the new food until he ate it all, leaving behind his purina!<br />As far as helping his gingivitis, it's helped a little. The plaque has gone down considerably, but the gumline is still reddish. He really loves this stuff, so I'll probably buy this again.",Positive
I knew it has food coloring before I purchased it but I didn't think it has that much of it.<br /><br />I had several drops of tea on my hand and it made my hand so orange and it is difficult to get rid of.<br /><br />The taste is not too bad but I feel like drinking chemicals after that.<br /><br />Also it has a lot of fine dust of tea that go thru the drainer.( The drainer is pretty fine.) So I can see the dark deposit at the bottom of the glass.<br /><br />I will buy another brand next time.,Negative
"Quote ""Assam tea is known for its body, briskness, malty flavor, and strong, bright color.""<br /><br />This offering is pretty abysmal, it is lacking in every department, maybe it was mislabeled. I am not sure what I am going to do with it!!",Negative
"This product is tasty, but not that much better than the national brands in the supermarket. I like it, but I'm not sure if it was worth the price.",Neutral
I couldn't even finish the cup of this. It was extremely sweet and I could feel a cavity coming on! I'll be offloading the rest of this box...,Negative
"My father is a real fan of York Peppermint Patties, unfortunately they dont sell those at home so when I travel, I always plan ahead to purchase them. This one i bought to make a candy bouquet, not only the candy came on time and in perfect conditions, but also the price was reasonable for the quantity, I'm very happy with this seller and whenever I travel to the states again I will make sure to buy ahead the candies for my daddy",Positive
"This coffee has a smooth, carmely, dark finish that I love! My husband gets other dark blends that taste like charcoal to me. This one is very smooth, with just a hint of sweetness. I wish that Amazon had it on its monthly purchase program, would love to save 15% on it! However, I was glad to find it someplace besides Green Mountain. As prime members, we can get our coffee replaced in 2 shipping days v. a week or longer over at GM. Sweet!",Positive
"We received a bar in a snack pack on a transcontinental flight with our 16 month old son.  While we thought the rest of the pack wasn't appropriate for his age, this seemed okay since, as the name implies, is just fruit. He ate the bar in less than 2 minutes!  He loved it.  Granted, our little guy is a fruit and veggie nut so this is not a problem for us, but the convenience of a bar when we are out and about is very appealing.  So we kept the wrapper and are going to purchase a box from Amazon.  Great product even for a toddler.",Positive
"My Iggy eats them as a last resort.  I read the ingredient list and was happy that it seemed healthy.  However, my picky Iggy doesn't rate it as high as I do :-). Maybe if it was bacon flavor it would get a higher rating from him.",Neutral
This is the best Hot Cocoa product I have found for the Keurig K-cup Brewer. The others I have tried do not have the test or alot of the product remains in the cup.,Positive
"I'm SO glad I gave these tuo chas a chance!!! I've recently become a huge pu-erh fan, so I've been on the lookout for great pu-erh that won't cost me a leg. I keep hearing that tuos don't usually have great quality, that often tea dust and poor quality leaves are compressed to make the ""nests"" (and yes, I've tasted those often enough to say it's true), but that's not the case here. In fact, this has become one of my favorite pu-erhs. (I've also tried <a href=""http://www.amazon.com/gp/product/B0021I8F60"">Rishi Tea Pu-erh Classic, 3.2-Ounce Tins (Pack of 3)</a>, which I thought was bound to be better simply because it was loose leaf, but that is not the case. I was not impressed... this one is much tastier.)<br /><br />I can get 3 huge mugs (each with a strong brew) out of 1 little tuo. The 4th one is already too watery, but the 3rd is still as strong as I like. This tea made me understand those comments about good pu-erh being ""a mouthful"", thick (I used to wonder what on earth it meant); it is like gulping milk, very interesting experience. I can't really describe the flavor, except to say that it's mellow, sweet, and very yummy. As all pu-erhs, it never gets bitter. To make this taste like heaven, I sometimes add a little bit of <a href=""http://www.amazon.com/gp/product/B002N749GY"">Numi Organic Tea Chocolate Puerh, Loose Leaf Tea, 16 Ounce Bag</a> for some chocolate/vanilla/orange flavor - perfection in a cup!!!<br /><br />I was wondering how many tuos actually fit into one of these little tins... and the answer is, quite a lot of them! That was another good surprise.",Positive
Caribou Blend is my top rated. The flavor is bold and smooth with a wonderful aroma. Look forward to my cup each morning.,Positive
"I tried this product in my pursuit of the best seaweed snack for flavor and price.  This one rated higher than some, but still not the best.  First, the flavor is ok, not too fishy, and the texture while thicker than some, and a little chewy, isn't bad.  The packaging consists of 80 strips to a jar, which is convenient and you get 6 jars to an order, so the cost isn't bad.  the calories are good, you get 10 pieces to a serving, a good size and it only has 10 calories.  So 1 calorie per piece w/no fat is great.  As far as carbs go, there is less than 1 carb per 10 piece serving.  Can't beat that.  Some seaweed snacks have a carb per piece.  Overall this isn't bad, but it's still not great.  Perhaps another flavor would be better.  While some seaweed snacks are so bad, I'd never try another flavor, this one is worth checking out a little more.",Neutral
This was the best value that I found online. Received my product quickly and evertything was in order. I'll definitely order from this company again because the dried hibiscus flowers were full and looked great. Can't wait to make the Caribbean drink known as sorrel!,Positive
"I've been a connoisseur of fine tea for many years.  Yet, I can no longer afford to frequent the fine tea rooms and tea stores that I used to, which offered my favorite varieties and international brands.  Subsequently, I've had to settle for lessor quality brands sold in most major supermarkets.<br /><br />Knowing how much I enjoy superior tea, my daughter-in-law chose Bentley's Finest Royal Green Tea Collection Gift Set as a holiday gift.  I could not have been more pleased!  *I regret that I delayed writing this review. Yet, with Mother's Day approaching, I'm hoping for another gift set.<br /><br />Bentley's Royal Green Tea is a superb collection of fine tea which is equal in quality and taste to some of the world's best green tea I've enjoyed.  This elegantly wrapped gift-set offers 6 varieties of special blends of green tea and fruit blends, from exotic fruits to popular favorites, such as Mango or Raspberry.<br /><br />Each teabag is securely sealed in a beautifully designed packet, with an elegant artistic image representing the fruit which flavors that teabag.  Bentley's goes further by providing a sturdy wood-like case, designed with 6 separate sections, each section containing 6 teabags of one flavor.  This solid well-designed dark-green case holds a total of 36 individually wrapped tea bags in its six compartments; a case which aptly resembles a jewelry box for the true 'jewels' of exquisite fine teabags it holds.  Indeed, when you lift the firm lid on this elegant case of fine tea, you will know you have a treasure-chest of great varieties of fine green tea.<br /><br />I was especially impressed that each teabag was expertly measured and prepared to effect the perfect aroma and optimal taste for the average teacup.  No other green teabags comes close to the perfect brew one would expect from the finest loose tea sold in specialty tea stores and tea rooms.<br /><br />Whether you purchase Bentley's Finest Royal Green Tea Collection Gift Set as a gift, or for your personal use, you will not be disappointed by the suburb quality of this wonderful selection of fruit-flavored green tea.<br /><br />Maizie Lucille James<br />April 2, 2012",Positive
"These mushrooms were very nice, clean, beautiful and very little stem. Almost 100% was first class product. I would recommend these mushrooms to anyone.",Positive
"I love cheez-its.  These were good and fresh, but when I opened the boxes the crackers were in broken pieces. Difficult to eat that way.",Neutral
"This sauce really tastes like a mix of Taco Bell hot sauce with a ranch/creamy sauce.  Not healthy, and not very tasty.  There are definitely better sauces out there.",Neutral
"I tried these tea bags at work and they were awesome.  So I looked for them and ordered.  While the flavor was great, the amount of tea in each bag is so little, it takes awhile to seap.  I like mine strong so I need to wait awhile or use two.",Neutral
"Not very good. More like a gimmick. The cup was very flimsy, and did not kill for as long or as effective as other fly traps. I would definitely recommend to go another direction on this.",Negative
"This drink is a nice blend of juices (mostly orange) and carbonated water.  There are no other ingredients.  It has a decent amount of natural sugars from the juice, so it is not a low-calorie drink.  I thought the balance of flavors and sweetness was quite nice and would definitely buy again.",Positive
"I have been buying mushrooms from JR Mushrooms for over a year now. I have ordered maybe 5 times. Service, delivery and quality are always number 1! I highly recommend this company and their products.<br />Trevor",Positive
"I purchased the Honey Stung Smokies and some of the reviews stated that they were mushy, I wouldn't go that far, but they are softer then most beef sticks but they still have a 'snap' to them. The taste is great, even the picky kids liked these smokies-I think we will try some of the other flavors. plus order these again.",Positive
I've tried a handful of other brands of French Roast and I find this one and Tully's version to be both great and comparable in flavor. The difference is the price (this one is far more reasonable).,Positive
"Should have known better, if it seems too good to be true....  Then, well you know.  Bought the coffee at a reduced price and was hoping to have stumbled onto a great product.  Not the case, this coffee taste like instant.  For being a dark roast, the flavor or the lack of is extremely poor.  Better luck next time......",Negative
"I compare this to drinks I've had from Starbucks and Java Monster, and I have to say that this one is the most delicate taste, has the least aftertaste, and best serving size. The downsides are that the calories per ounce are quite a bit higher than the other options, and the mouth texture feels a bit oily or emulsified if you don't drink it over ice.<br /><br />If wanting the overall best experience, surprisingly I would reach for the Java Monster-- best value, taste and calorie per ounce ratio. For the most aggressive coffee taste, I choose the Starbucks. And for the least aftertaste, and quick on the go drink, I choose this one.<br /><br />I'm not a coffee expert, so I'm not sure if that emulsified or egg white emulsified mouth experience is normal or expected, but for me, if that could be minimized or eliminated I would really appreciate this product more. I rated 3 stars out of 5 because of the emulsified mouth experience and the less desirable calories per ounce.",Neutral
